time,yd
0,400
0.1,413
0.2,425
0.3,432
0.4,447
0.5,455
0.6,462
0.7,475
0.8,487
0.9,502
1,515
1.1,523
1.2,536
1.3,550
1.4,563
1.5,575
1.6,588
1.7,603
1.8,615
1.9,622
2,635
2.1,648
2.2,660
2.3,675
2.4,688
2.5,700
2.6,713
2.7,725
2.8,738
2.9,752
3,765
3.1,777
3.2,790
3.3,805
3.4,817
3.5,830
3.6,845
3.7,857
3.8,870
3.9,883
4,895
4.1,910
4.2,922
4.3,937
4.4,950
4.5,963
4.6,975
4.7,988
4.8,1002
4.9,1015
5,1027
5.1,1042
5.2,1055
5.3,1067
5.4,1080
5.5,1095
5.6,1108
5.7,1120
5.8,1133
5.9,1147
6,1160
6.1,1175
6.2,1188
6.3,1202
6.4,1215
6.5,1228
6.6,1242
6.7,1255
6.8,1270
6.9,1282
7,1295
7.1,1310
7.2,1323
7.3,1399
7.4,1476
7.5,1557
7.6,1642
7.7,1731
7.8,1825
7.9,1923
8,2026
8.1,2134
8.2,2248
8.3,2368
8.4,2494
8.5,2626
8.6,2765
8.7,2911
8.8,3064
8.9,3225
9,3395
9.1,3573
9.2,3760
9.30000000000001,3957
9.40000000000001,4164
9.50000000000001,4379
9.60000000000001,4606
9.70000000000001,4845
9.80000000000001,5096
9.90000000000001,5358
10,5625
10.1,5569.19440596902
10.2,5536.53326020613
10.3,5506.21518960461
10.4,5476.06584162746
10.5,5466.29938347448
10.6,5458.18455269415
10.7,5437.40899620264
10.8,5377.29698072525
10.9,5344.35400908924
11,5336.61913848642
11.1,5269.18861024065
11.2,5259.09093007345
11.3,5201.6911731078
11.4,5169.12112591082
11.5,5102.63893151045
11.6,5084.16637685951
11.7,5007.25984300329
11.8,4985.95173671462
11.9,4983.13690247605
12,4941.64746924352
12.1,4870.24887128291
12.2,4797.03937678647
12.3,4793.46355000388
12.4,4756.33441185219
12.5,4673.95413928659
12.6,4630.42149935581
12.7,4559.70028184009
12.8,4465.76029320329
12.9,4411.17537950638
13,4333.96434678066
13.1,4291.74851543209
13.2,4240.4146119971
13.3,4155.8332797881
13.4,4117.47484199629
13.5,4066.24552499887
13.6,3982.81677625318
13.7000000000001,3899.35819897535
13.8000000000001,3852.06105167437
13.9000000000001,3830.37036767369
14.0000000000001,3739.14088228116
14.1000000000001,3687.91370126548
14.2000000000001,3677.92664094603
14.3000000000001,3585.14182505288
14.4000000000001,3559.93810716133
14.5000000000001,3532.90876628523
14.6000000000001,3505.1476771585
14.7000000000001,3468.69551896541
14.8000000000001,3406.03606917941
14.9000000000001,3321.26467750806
15.0000000000001,3274.20477332388
15.1000000000001,3196.13271058468
15.2000000000001,3128.17858658094
15.3000000000001,3080.04975430248
15.4000000000001,3073.59991971708
15.5000000000001,3052.66666429407
15.6000000000001,2957.1006428918
15.7000000000001,2951.94517902429
15.8000000000001,2874.71555419801
15.9000000000001,2827.36513770773
16.0000000000001,2805.41528784378
16.1000000000001,2765.09955170676
16.2000000000001,2699.0677718635
16.3000000000001,2659.16545556762
16.4000000000001,2646.84443437832
16.5000000000001,2592.72120704104
16.6000000000001,2540.39457560721
16.7000000000001,2537.72522472553
16.8000000000001,2493.34036976118
16.9000000000001,2464.76892246065
17.0000000000001,2405.36037755361
17.1000000000001,2393.51227304116
17.2000000000001,2306.96035680789
17.3000000000001,2210.08427274711
17.4000000000001,2126.68191109891
17.5000000000001,2098.84129299001
17.6000000000001,2024.76362119618
17.7000000000001,1979.67475595975
17.8000000000001,1940.398296061
17.9000000000001,1922.75583699708
18.0000000000001,1872.55509947218
18.1000000000001,1778.52139914646
18.2000000000001,1691.72775826528
18.3000000000001,1637.94283968823
18.4000000000001,1563.72443435211
18.5000000000001,1553.28919109612
18.6000000000001,1473.41141898655
18.7000000000001,1387.02789408945
18.8000000000001,1355.04496224077
18.9000000000001,1342.61050122914
19.0000000000001,1324.52490816421
19.1000000000001,1241.66755234973
19.2000000000001,1225.44531557271
19.3000000000001,1134.10391804777
19.4000000000001,1126.17357415736
19.5000000000001,1100.34905575753
19.6000000000001,1066.15569176754
19.7000000000001,966.186075805925
19.8000000000001,888.762378194783
19.9000000000001,845.038887315693
20.0000000000001,755.713759468444
